researcher_id,name,institution,commercial_priority_score,tier
A5104189735,Jaewoo Mo,Soongsil University,35.28139148491189,Tier B
A5101260841,Junseo Seo,Soongsil University,33.52952325330391,Tier B
A5110118275,Chorong Seo,Inje University,48.75879537778121,Tier C
A5069564463,Ji‐Youn Sung,Kyung Hee University,47.591889166373605,Tier C
A5028507019,Ik Jun Choi,The Catholic University of Korea Incheon St. Mary's Hospital,47.25802581434732,Tier C
A5087294413,Sungwoong Kim,Korea University,46.32445146242168,Tier C
A5009259352,Jamshid Abdul‐Ghafar,Kabul Medical University,45.12739871990893,Tier C
A5042100493,Ji Mi Ahn,Ajou University,44.9099638856805,Tier C
A5054931904,Yoon Ah Cho,Samsung Medical Center,43.48638183034954,Tier C
A5069469573,Kwangil Yim,The Catholic University of Korea Uijeongbu St. Mary's Hospital,43.028388717496384,Tier C
A5001441680,Ji Young Mun,Korea Brain Research Institute,42.89892116128879,Tier C
A5022448366,Sung‐Hyun Jo,Soongsil University,42.1930419535903,Tier C
A5016008254,Christian Macks,Korea Advanced Institute of Science and Technology,42.067872300184916,Tier C
A5018869966,Sin‐Hee Park,Unknown,41.65398653008698,Tier C
A5055913466,Namyoung Jung,Pohang University of Science and Technology,40.64041600298454,Tier C
A5112655953,Dong-Jin Han,Catholic University of Korea,40.42717392035275,Tier C
A5005712891,Jang Hoon Lee,Kyungpook National University Hospital,40.36148572682191,Tier C
A5049355350,Seunggeun Lee,Unknown,39.74880101635673,Tier C
A5045410556,Han‐Eol Park,Yonsei University,39.46843655097856,Tier C
A5111700801,B. J. Park,Soongsil University,39.04301558371426,Tier C
A5020003410,Jiwon Shim,Chungbuk National University,38.305089830652854,Tier C
A5011174551,Eunmin Kim,Yonsei University,37.5004967153366,Tier C
A5070538830,Moonsik Kim,Kyungpook National University Hospital,37.49727183054069,Tier C
A5072381269,Sun‐ju Byeon,Daejeon Sun Hospital,37.39037031904064,Tier C
A5016338335,Soohwan An,Brigham and Women's Hospital,37.17829344008442,Tier C
A5074483970,Cheorl‐Ho Kim,Sungkyunkwan University,36.349563541550296,Tier C
A5064908728,Song Hyun Jo,Korea Advanced Institute of Science and Technology,36.201161457255935,Tier C
A5109616230,Minkyo Jung,Korea Institute of Machinery & Materials,35.47469733182549,Tier C
A5003517879,Young‐Koo Jee,Dankook University,34.07587350748199,Tier C
A5019811423,Kisung Nam,Seoul National University,33.151095334667986,Tier C
A5101905019,Jangho Kim,Seoul National University,32.86411721325042,Tier C
A5012763936,Pratyush Kumar Mishra,Seoul National University,32.649095432131425,Tier C
A5043815269,Yong Woo Ji,Yonsei University,32.15581877974205,Tier C
A5103042371,Sung Ki Lee,Konyang University,31.99266332799026,Tier C
A5113327383,In-Kyu Lee,Kyungpook National University Hospital,31.756410707284232,Tier C
A5100436303,Dae Ho Lee,Shinhwa Medical (South Korea),31.223511593916946,Tier C
A5056078856,Nishant Thakur,Catholic University of Korea,30.473820392618098,Tier C
A5052825364,Gyeongjun Kim,Seoul National University,29.83848422863143,Tier C
A5102629578,Youngmin Chung,Sungkyunkwan University,29.82054846271467,Tier C
A5039165896,Jae Hun Jung,Kyung Hee University,29.670514209654392,Tier C
A5080393838,Nirmali Sharma,Seoul National University,28.87765841547474,Tier C
A5020433927,Suran Kim,Yonsei University,28.799990624550215,Tier C
A5038741908,Kyeong Chan Im,Sungkyunkwan University,28.721103014540383,Tier C
A5038321538,Sungjin Min,Yonsei University,28.673698699998496,Tier C
A5013823921,Yi Sun Choi,Yonsei University,28.248493977644372,Tier C
A5031651244,Ji Hun Ha,Sungkyunkwan University,28.17482902611306,Tier C
A5100772900,Jae Hun Kim,Kyung Hee University,26.737706262341167,Tier C
A5009706510,Muhammad Joan Ailia,Pusan National University,26.70647123224953,Tier C
A5085902390,Eun Jung Choi,Kyungpook National University,26.674841434934,Tier C
A5060670063,Kyusun Han,Yonsei University,25.453186425101524,Tier C
A5060611882,Chang-Mo Yoo,Seoul National University,23.735793313748545,Tier C
A5050948502,Eungyeong Jang,Kyung Hee University,22.78739033290859,Tier C
A5062726951,Jungkap Park,Hallym University Sacred Heart Hospital,17.916110864153513,Tier C
A5112850024,Young Hyeh,Sungkyunkwan University,13.043834338564622,Tier C
A5111031978,Cho Hyun Hwang,Kyung Hee University,11.8704679461476,Tier C
A5100719073,Tae‐Min Kim,Catholic Medical Center,96.80745828966147,Tier S
A5106557026,Young Tae Kim,Seoul National University,94.31321383520275,Tier S
A5023527433,Sung Hak Lee,LG (United States),91.06343593694437,Tier S
A5057036329,Hongyoon Choi,Seoul National University,87.61204844865219,Tier S
A5027741708,Jaemoon Koh,Seoul National University Hospital,82.43306574797855,Tier S
A5110948257,Kwon Joong Na,Seoul National University,82.31582268747732,Tier S
A5017735770,Hoon Hur,Ajou University,80.53625626179874,Tier S
A5101445353,Yeon Hee Park,Samsung Medical Center,79.92406027378846,Tier S
A5053879044,Sungwoo Bae,Seoul National University,78.07599739496972,Tier S
A5014147627,Junho K. Hur,Hanyang University,77.52074271387173,Tier S
A5030936631,Eun Kyoung Kim,Samsung Medical Center,76.3936575624048,Tier S
A5067428277,Hyung‐Jun Im,Seoul National University of Science and Technology,76.13775138358835,Tier S
A5008352862,In Hye Song,Ulsan College,74.20078121174865,Tier S
A5069050806,Seock‐Ah Im,Seoul National University,74.05570253994927,Tier S
A5011818793,Jin Roh,Ulsan College,73.96007948829983,Tier S
A5100740580,Jihwan Park,Gwangju Institute of Science and Technology,72.71873335104456,Tier S
