researcher_id,name,institution,commercial_priority_score,tier,segment,research_intelligence_score,technology_adoption_score,key_drivers,considerations
A5023482684,Minseok Suh,Seoul National University,54.8844606508909,Tier B,Strategic Target,54.30861052924815,55.74823583335502,High spatial-transcriptomics evidence | Strong institutional environment,Limited single-cell activity
A5055121468,Hye Jin Heo,Pusan National University,54.83438714969543,Tier B,Strategic Target,57.487056348548926,50.8553833514152,Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5031068192,Seung‐Woo Cho,Kangwon National University,54.19003867240174,Tier B,Academic Leader,61.675584722109264,42.96171959784046,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence
A5100625452,Jeong Hwan Park,National Cancer Center,54.060826058666024,Tier B,Strategic Target,59.128600868243666,46.45916384429957,High spatial-transcriptomics evidence,Limited single-cell activity
A5050317153,Byeong‐Cheol Ahn,Kyungpook National University Hospital,53.95739693824453,Tier B,Academic Leader,61.14616568917987,43.17424381184152,Balanced profile without a dominant top-quartile driver,Low recent research momentum
A5100380876,Jin Kim,Soongsil University,53.874931772179096,Tier B,Academic Leader,61.07174857005487,43.07970657536544,High technology adoption index,Low recent research momentum | Limited institutional signal
A5114549702,Seungho Lee,Korea University,53.29554080213865,Tier B,Emerging Adopter,45.94819926249285,64.31655311160736,High recent research momentum | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5101765150,Seung Eun Baek,Institute for Basic Science,53.1681299200947,Tier B,Strategic Target,55.164165994618365,50.17407580830918,Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5038666848,Chang Ho Sohn,Korea Advanced Institute of Science and Technology,52.64038442566371,Tier B,Strategic Target,52.74602569302047,52.48192252462856,High technology adoption index | High spatial-transcriptomics evidence | Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5038366277,Keun Seok Lee,National Cancer Center,52.47833660417212,Tier B,Academic Leader,57.849357064658754,44.421805913442164,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity
A5033646196,Se Jin Oh,Samsung Medical Center,52.3619984190307,Tier B,Strategic Target,56.464677971037624,46.20797909102031,Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5060938154,Yosep Chong,The Catholic University of Korea Uijeongbu St. Mary's Hospital,52.10018652997345,Tier B,Strategic Target,52.913856035098085,50.879682272286495,Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5056137004,Hyeseong Lee,Lewis University,51.66409096266173,Tier B,Emerging Adopter,47.79322264300217,57.47039344215107,High recent research momentum,Limited single-cell activity
A5030607871,Sun Wook Cho,New Generation University College,51.59328362039552,Tier B,Academic Leader,55.43366152293993,45.832716766578905,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence
A5028464804,Prakash Gangadaran,Kyungpook National University,51.318877524985275,Tier B,Emerging Adopter,48.80152955457767,55.09489948059668,Balanced profile without a dominant top-quartile driver,Limited observed collaboration-network signal
A5045748813,Ju Hyun Yun,Ewha Womans University,51.30938885573424,Tier B,Emerging Adopter,39.047908249834705,69.70160976458354,High recent research momentum | Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5006671739,Rosalind H. Lee,Gwangju Institute of Science and Technology,50.902762372291754,Tier B,Emerging Adopter,36.205603984710464,72.94849995366368,High technology adoption index | High spatial-transcriptomics evidence | High recent research momentum,No bottom-quartile consideration among reviewed signals
A5042831733,Youngbeen Moon,National Cancer Center,50.86011674778627,Tier B,Emerging Adopter,48.71815531870427,54.073058891409275,Balanced profile without a dominant top-quartile driver,Limited single-cell activity
A5033057281,Yunjung Jin,Ewha Womans University,50.69896707564875,Tier B,Emerging Adopter,40.668880225413275,65.74409735100197,High technology adoption index | High spatial-transcriptomics evidence | High recent research momentum,Limited observed collaboration-network signal
A5109170456,Yee Soo Chae,Kyungpook National University Hospital,50.53106395388998,Tier B,Academic Leader,59.21818963610591,37.50037543056611,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence | Low recent research momentum
A5036338381,In Woong Han,Samsung Medical Center,50.395625234432686,Tier B,Academic Leader,55.274012222939774,43.07804475167207,Strong single-cell activity | Strong institutional environment,Limited spatial-transcriptomics evidence | Limited observed collaboration-network signal
A5100348070,Nayoung Kim,Korea Advanced Institute of Science and Technology,50.1375408594555,Tier B,Emerging Adopter,47.065569338752745,54.74549814050962,Strong single-cell activity,No bottom-quartile consideration among reviewed signals
A5100713453,Sunmin Kim,Catholic University of Korea,50.070460580698196,Tier B,Academic Leader,53.712490503976,44.60741569578149,High technology adoption index | High spatial-transcriptomics evidence,No bottom-quartile consideration among reviewed signals
A5100771881,Jae Eun Lee,Korea Advanced Institute of Science and Technology,49.9472294897702,Tier B,Academic Leader,52.59705539604771,45.972490630353946,High technology adoption index | High spatial-transcriptomics evidence,No bottom-quartile consideration among reviewed signals
A5073934092,Jae Myoung Suh,Korea Advanced Institute of Science and Technology,49.92506623066706,Tier B,Academic Leader,55.75157879468391,41.18529738464179,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence
A5052602817,Sun Shin,Korea Institute of Energy Research,49.33821178411183,Tier B,Academic Leader,53.59570485898669,42.95197217179954,Strong single-cell activity,Limited institutional signal
A5068518101,Tae-Kyung Kim,Pohang University of Science and Technology,49.2675216306891,Tier B,Academic Leader,55.3557651880323,40.1351562946743,Balanced profile without a dominant top-quartile driver,Low recent research momentum | Limited observed collaboration-network signal
A5100723831,Seungchan Kim,Plastic Surgery Hospital,49.03439326127279,Tier B,Academic Leader,56.808409707335116,37.3733685921793,Strong single-cell activity,Limited spatial-transcriptomics evidence | Low recent research momentum | Limited observed collaboration-network signal
A5110118275,Chorong Seo,Inje University,48.75879537778121,Tier C,Low Priority,51.92432883537376,44.0104951913924,Strong collaboration network,No bottom-quartile consideration among reviewed signals
A5046207199,Juyoung Yoon,Ewha Womans University,48.737901221380284,Tier B,Academic Leader,58.271623871370714,34.437317246394635,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Low recent research momentum | Limited observed collaboration-network signal
A5044524626,Yoo Seob Shin,Yonsei University,48.44308473616345,Tier B,Academic Leader,55.79493184864008,37.41531406744849,Strong collaboration network,Limited single-cell activity | Low recent research momentum | Limited institutional signal
A5101638524,Areum Jo,Catholic University of Korea,47.96890894839835,Tier B,Emerging Adopter,38.939786817461425,61.51259214480373,Strong single-cell activity | High recent research momentum,No bottom-quartile consideration among reviewed signals
A5011272746,Yun‐Gon Kim,Soongsil University,47.917080486105576,Tier B,Academic Leader,57.88826941064079,32.96029709930275,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence | Low recent research momentum | Limited institutional signal
A5040514663,Jinyeong Choi,Korea Exercise Rehabilitation Association,47.86116535607012,Tier B,Emerging Adopter,44.175187150390805,53.390132664589075,High technology adoption index | High spatial-transcriptomics evidence,Limited single-cell activity | Limited institutional signal
A5073268857,Chung Whan Lee,Gachon University,47.79057324128395,Tier B,Emerging Adopter,46.05381114045745,50.3957163925237,High spatial-transcriptomics evidence,No bottom-quartile consideration among reviewed signals
A5074645251,Jung‐Yun Lee,Yonsei University,47.770455511450635,Tier B,Emerging Adopter,45.39101449862765,51.339617030685105,High recent research momentum,Limited spatial-transcriptomics evidence | Limited institutional signal
A5069564463,Ji‐Youn Sung,Kyung Hee University,47.591889166373605,Tier C,Low Priority,50.108446397122684,43.81705332024999,High technology adoption index | High spatial-transcriptomics evidence,Low recent research momentum | Limited institutional signal
A5056969461,Beomseok Jeon,Seoul National University Hospital,47.33812011201316,Tier B,Academic Leader,58.465300321379644,30.64734979796343,Strong institutional environment,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Limited observed collaboration-network signal
A5028507019,Ik Jun Choi,The Catholic University of Korea Incheon St. Mary's Hospital,47.25802581434732,Tier C,Low Priority,50.23736774581441,42.78901291714668,Balanced profile without a dominant top-quartile driver,No bottom-quartile consideration among reviewed signals
A5101725413,Seung‐Ah Yoo,Catholic University of Korea,46.64006794689228,Tier B,Academic Leader,54.35916834344812,35.06141735205853,Balanced profile without a dominant top-quartile driver,Low recent research momentum
A5084508227,Jai Hee Bae,Samsung Medical Center,46.62160184059548,Tier B,Emerging Adopter,38.601231585175086,58.65215722372608,High recent research momentum | Strong institutional environment,No bottom-quartile consideration among reviewed signals
A5000867275,Hae Seul Lee,Pusan National University Yangsan Hospital,46.51808521220367,Tier B,Emerging Adopter,39.436305711118884,57.14075446383086,High recent research momentum | Strong collaboration network | Strong institutional environment,Limited single-cell activity
A5101667014,Eunhye Park,Ewha Womans University,46.48472159456616,Tier B,Academic Leader,54.14450703097503,34.99504343995286,Balanced profile without a dominant top-quartile driver,Low recent research momentum
A5087294413,Sungwoong Kim,Korea University,46.32445146242168,Tier C,Low Priority,46.77087655489084,45.65481382371793,Balanced profile without a dominant top-quartile driver,Limited observed collaboration-network signal
A5089359189,Eunhye Yeo,Samsung (South Korea),45.764694244045785,Tier B,Emerging Adopter,35.27949215629714,61.49249737566876,High recent research momentum,No bottom-quartile consideration among reviewed signals
A5101593845,Chan Woo Kim,Westchester Medical Center,45.65925967122597,Tier B,Academic Leader,56.80626581297462,28.93875045860299,Balanced profile without a dominant top-quartile driver,Low recent research momentum
A5083630059,An Na Seo,Kyungpook National University Hospital,45.49861909424929,Tier B,Academic Leader,53.43531076245996,33.593581591933294,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence
A5009259352,Jamshid Abdul‐Ghafar,Kabul Medical University,45.12739871990893,Tier C,Low Priority,45.00565966230206,45.31000730631924,Strong single-cell activity,Limited spatial-transcriptomics evidence
A5107838719,Klaus‐Robert Müller,Korea University,45.02242783401074,Tier B,Academic Leader,56.25023174521873,28.180721967198764,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Low recent research momentum | Limited observed collaboration-network signal
A5015062816,Hyunsu An,Gwangju Institute of Science and Technology,44.91170420096328,Tier B,Emerging Adopter,35.356326251681175,59.244771124886434,Strong single-cell activity | High recent research momentum,Limited spatial-transcriptomics evidence | Limited observed collaboration-network signal
A5042100493,Ji Mi Ahn,Ajou University,44.9099638856805,Tier C,Low Priority,48.73662470104356,39.169972662635914,Strong collaboration network,Limited single-cell activity
A5039106930,Huiram Kang,Catholic University of Korea,44.8797061251113,Tier B,Emerging Adopter,30.594365469724767,66.3077171081911,Strong single-cell activity | High recent research momentum,Limited observed collaboration-network signal
A5052722112,Hyun‐Young Cha,Ajou University,44.21094624370514,Tier B,Academic Leader,54.66178091436561,28.53469423771443,Strong collaboration network,Limited single-cell activity | Low recent research momentum
A5054931904,Yoon Ah Cho,Samsung Medical Center,43.48638183034954,Tier C,Low Priority,50.30658486216386,33.25607728262807,Strong institutional environment,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity
A5069469573,Kwangil Yim,The Catholic University of Korea Uijeongbu St. Mary's Hospital,43.028388717496384,Tier C,Low Priority,42.12872177572491,44.37788913015359,High recent research momentum,Limited spatial-transcriptomics evidence
A5001441680,Ji Young Mun,Korea Brain Research Institute,42.89892116128879,Tier C,Low Priority,51.028661993317606,30.70430991324557,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Limited institutional signal
A5022448366,Sung‐Hyun Jo,Soongsil University,42.1930419535903,Tier C,Low Priority,51.61830275742868,28.055150747832748,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence | Low recent research momentum | Limited institutional signal
A5016008254,Christian Macks,Korea Advanced Institute of Science and Technology,42.067872300184916,Tier C,Low Priority,43.5184761747677,39.89196648831074,High spatial-transcriptomics evidence,Limited single-cell activity
A5100406800,Eun Ji Lee,Seoul National University,41.66426325360745,Tier B,Emerging Adopter,38.5325258960379,46.361869289961774,High recent research momentum | Strong institutional environment,Limited single-cell activity
A5018869966,Sin‐Hee Park,Unknown,41.65398653008698,Tier C,Low Priority,48.77915374415112,30.966235708990787,Balanced profile without a dominant top-quartile driver,Low recent research momentum | Limited institutional signal
A5055913466,Namyoung Jung,Pohang University of Science and Technology,40.64041600298454,Tier C,Low Priority,44.300148635602156,35.15081705405812,Balanced profile without a dominant top-quartile driver,Limited observed collaboration-network signal
A5112655953,Dong-Jin Han,Catholic University of Korea,40.42717392035275,Tier C,Low Priority,40.131040542956015,40.87137398644786,Balanced profile without a dominant top-quartile driver,Limited single-cell activity
A5005712891,Jang Hoon Lee,Kyungpook National University Hospital,40.36148572682191,Tier C,Low Priority,51.23583695502043,24.04995888452413,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Low recent research momentum
A5049355350,Seunggeun Lee,Unknown,39.74880101635673,Tier C,Low Priority,45.78470874358542,30.694939425513695,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Limited observed collaboration-network signal | Limited institutional signal
A5045410556,Han‐Eol Park,Yonsei University,39.46843655097856,Tier C,Low Priority,41.65483153756165,36.18884407110393,High technology adoption index | High spatial-transcriptomics evidence,Low recent research momentum | Limited institutional signal
A5111700801,B. J. Park,Soongsil University,39.04301558371426,Tier C,Low Priority,35.21184537780132,44.78977089258367,High technology adoption index | High spatial-transcriptomics evidence,Limited observed collaboration-network signal | Limited institutional signal
A5020003410,Jiwon Shim,Chungbuk National University,38.305089830652854,Tier C,Low Priority,36.698048573244954,40.71565171676471,Strong single-cell activity,Limited spatial-transcriptomics evidence | Limited observed collaboration-network signal | Limited institutional signal
A5077187526,Gyeong Dae Kim,Harvard University,38.29479621141657,Tier B,Emerging Adopter,27.90081834819778,53.885763006244744,Strong single-cell activity | High recent research momentum,Limited observed collaboration-network signal
A5113080525,Seo-Yeong Lee,Yonsei University,37.78076461034873,Tier B,Emerging Adopter,21.949031491144684,61.5283642891548,High spatial-transcriptomics evidence | High recent research momentum,Limited single-cell activity | Limited institutional signal
A5011174551,Eunmin Kim,Yonsei University,37.5004967153366,Tier C,Low Priority,34.49818857372969,42.00395892774697,Balanced profile without a dominant top-quartile driver,Limited institutional signal
A5070538830,Moonsik Kim,Kyungpook National University Hospital,37.49727183054069,Tier C,Low Priority,38.8927346016667,35.40407767385167,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited observed collaboration-network signal
A5072381269,Sun‐ju Byeon,Daejeon Sun Hospital,37.39037031904064,Tier C,Low Priority,46.78322799338949,23.301083807517383,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Low recent research momentum | Limited institutional signal
A5016338335,Soohwan An,Brigham and Women's Hospital,37.17829344008442,Tier C,Low Priority,34.79989576154289,40.7458899578967,High recent research momentum,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity
A5074483970,Cheorl‐Ho Kim,Sungkyunkwan University,36.349563541550296,Tier C,Low Priority,46.03083170329148,21.82766129893853,Balanced profile without a dominant top-quartile driver,Limited spatial-transcriptomics evidence | Limited single-cell activity | Low recent research momentum | Limited observed collaboration-network signal | Limited institutional signal
A5064908728,Song Hyun Jo,Korea Advanced Institute of Science and Technology,36.201161457255935,Tier C,Low Priority,43.41584164690283,25.3791411727856,High spatial-transcriptomics evidence,Limited single-cell activity | Low recent research momentum
A5109616230,Minkyo Jung,Korea Institute of Machinery & Materials,35.47469733182549,Tier C,Low Priority,39.11049023247811,30.021007980846566,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Limited institutional signal
A5104189735,Jaewoo Mo,Soongsil University,35.28139148491189,Tier B,Emerging Adopter,19.37650630638376,59.1387192527041,High recent research momentum,Limited observed collaboration-network signal | Limited institutional signal
A5003517879,Young‐Koo Jee,Dankook University,34.07587350748199,Tier C,Low Priority,47.89356385937795,13.34933797963805,Balanced profile without a dominant top-quartile driver,Low technology evidence | Limited spatial-transcriptomics evidence | Limited single-cell activity | Low recent research momentum | Limited observed collaboration-network signal | Limited institutional signal
